brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,Number of Ratings,Number of Reviews
Lenovo,Intel,Core i7,9th,16 GB,1024 GB,0 GB,Windows,64-bit,4 GB,229900,0,0
ASUS,Intel,Core i7,11th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,131500,0,0
ASUS,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,154990,3,0
ASUS,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,165990,0,0
Lenovo,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,119990,2,1
ASUS,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,167990,0,0
HP,Intel,Core i7,11th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,165000,0,0
Avita,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,62990,207,49
Lenovo,Intel,Core i7,11th,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,85990,7,2
HP,Intel,Core i7,11th,16 GB,1024 GB,0 GB,Windows,64-bit,2 GB,94990,0,0
HP,Intel,Core i7,11th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,136990,0,0
Lenovo,Intel,Core i7,10th,16 GB,1024 GB,0 GB,Windows,64-bit,8 GB,234990,0,0
acer,Intel,Core i7,10th,16 GB,2048 GB,0 GB,Windows,64-bit,8 GB,159990,4,0
ASUS,Intel,Core i7,10th,16 GB,2048 GB,0 GB,Windows,64-bit,0 GB,233990,0,0
ASUS,Intel,Core i7,10th,16 GB,0 GB,1024 GB,Windows,64-bit,2 GB,93990,0,0
HP,Intel,Core i7,8th,16 GB,128 GB,1024 GB,Windows,64-bit,4 GB,116941,0,0
MSI,Intel,Core i7,10th,8 GB,256 GB,1024 GB,Windows,64-bit,4 GB,63990,794,83
ASUS,Intel,Core i7,10th,16 GB,256 GB,1024 GB,Windows,64-bit,4 GB,66990,25,4
ASUS,Intel,Core i7,11th,16 GB,256 GB,1024 GB,Windows,32-bit,0 GB,82500,0,0
acer,Intel,Core i7,10th,16 GB,256 GB,1024 GB,Windows,64-bit,6 GB,119990,2038,313
MSI,Intel,Core i7,10th,16 GB,256 GB,1024 GB,Windows,64-bit,4 GB,159990,0,0
ASUS,Intel,Core i7,8th,16 GB,256 GB,1024 GB,Windows,64-bit,0 GB,98912,0,0
acer,Intel,Core i7,11th,16 GB,512 GB,1024 GB,Windows,64-bit,4 GB,92990,214,37
acer,Intel,Core i7,11th,16 GB,512 GB,1024 GB,Windows,32-bit,6 GB,119990,342,54
acer,Intel,Core i9,11th,32 GB,1024 GB,0 GB,Windows,64-bit,8 GB,169990,0,0
acer,Intel,Core i9,11th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,139990,0,0
MSI,Intel,Core i9,11th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,192990,0,0
ASUS,Intel,Core i9,12th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,299990,0,0
ASUS,Intel,Core i9,10th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,269990,8,1
ASUS,Intel,Core i9,11th,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,139990,0,0
Lenovo,Intel,Core i9,10th,16 GB,1024 GB,0 GB,Windows,32-bit,8 GB,265998,0,0
ASUS,Intel,Core i9,11th,16 GB,3072 GB,0 GB,Windows,32-bit,6 GB,441990,1,1
MSI,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,4 GB,86990,218,27
MSI,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,6 GB,109990,78,16
MSI,Intel,Core i5,10th,8 GB,0 GB,512 GB,DOS,32-bit,4 GB,109590,5,2
ASUS,Intel,Core i7,10th,16 GB,0 GB,512 GB,DOS,32-bit,6 GB,146490,2,1
APPLE,M1,M1,10th,8 GB,256 GB,0 GB,Mac,64-bit,0 GB,85990,6725,629
APPLE,M1,M1,10th,8 GB,256 GB,0 GB,Mac,64-bit,0 GB,112990,640,70
APPLE,M1,M1,10th,16 GB,256 GB,0 GB,Mac,64-bit,0 GB,104990,45,4
APPLE,M1,M1,10th,16 GB,256 GB,0 GB,Mac,64-bit,0 GB,132990,640,70
APPLE,M1,M1,10th,16 GB,512 GB,0 GB,Mac,64-bit,0 GB,149990,640,70
APPLE,M1,M1,10th,8 GB,512 GB,0 GB,Mac,64-bit,0 GB,125990,399,45
APPLE,M1,M1,10th,8 GB,512 GB,0 GB,Mac,64-bit,0 GB,103990,809,91
APPLE,M1,M1,10th,8 GB,512 GB,0 GB,Mac,64-bit,0 GB,101990,809,91
APPLE,M1,M1,10th,8 GB,512 GB,0 GB,Mac,64-bit,0 GB,104990,6725,629
APPLE,M1,M1,10th,8 GB,512 GB,0 GB,Mac,64-bit,0 GB,131990,399,45
APPLE,M1,M1,10th,16 GB,512 GB,0 GB,Mac,64-bit,0 GB,128990,45,4
APPLE,M1,M1,10th,16 GB,512 GB,0 GB,Mac,64-bit,0 GB,184990,42,8
APPLE,M1,M1,10th,16 GB,512 GB,0 GB,Mac,64-bit,0 GB,225990,42,8
APPLE,M1,M1,10th,4 GB,512 GB,0 GB,Mac,64-bit,0 GB,124990,45,4
APPLE,M1,M1,10th,8 GB,1024 GB,0 GB,Mac,64-bit,0 GB,149990,640,70
APPLE,M1,M1,10th,16 GB,1024 GB,0 GB,Mac,64-bit,0 GB,169990,640,70
APPLE,M1,M1,10th,16 GB,1024 GB,0 GB,Mac,64-bit,0 GB,225990,42,8
APPLE,M1,M1,10th,16 GB,1024 GB,0 GB,Mac,64-bit,0 GB,243990,42,8
APPLE,M1,M1,10th,32 GB,1024 GB,0 GB,Mac,64-bit,0 GB,309990,3,1
ASUS,Intel,Pentium Quad,Not Available,4 GB,0 GB,512 GB,Windows,64-bit,0 GB,45990,0,0
ASUS,Intel,Pentium Quad,Not Available,4 GB,128 GB,0 GB,Windows,32-bit,0 GB,58100,0,0
ASUS,Intel,Pentium Quad,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,62990,0,0
HP,Intel,Pentium Quad,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,32990,77,9
ASUS,Intel,Pentium Quad,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,33990,6,0
acer,Intel,Pentium Quad,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,30990,465,89
DELL,Intel,Pentium Quad,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,36000,102,16
ASUS,Intel,Pentium Quad,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,32990,7,1
DELL,Intel,Pentium Quad,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,35990,0,0
ASUS,Intel,Pentium Quad,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,27990,0,0
ASUS,Intel,Pentium Quad,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,25990,4741,658
ASUS,Intel,Pentium Quad,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,25990,2736,350
ASUS,Intel,Pentium Quad,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,30780,0,0
HP,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,37990,2214,241
ASUS,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,35990,2886,375
DELL,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,39490,34,4
DELL,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,36990,137,15
DELL,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,39990,7,0
ASUS,AMD,Ryzen 3,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,33690,170,26
DELL,AMD,Ryzen 3,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,40590,0,0
ASUS,AMD,Ryzen 3,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,37990,39,3
ASUS,AMD,Ryzen 3,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,34500,2886,375
acer,AMD,Ryzen 3,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,36990,11,2
HP,AMD,Ryzen 3,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,43490,163,33
HP,AMD,Ryzen 3,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,41490,153,21
acer,AMD,Ryzen 3,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,34990,0,0
HP,AMD,Ryzen 3,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,44490,267,42
DELL,AMD,Ryzen 3,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,40590,0,0
DELL,AMD,Ryzen 3,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,42090,3,0
DELL,AMD,Ryzen 3,Not Available,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,35990,59,12
HP,AMD,Ryzen 3,Not Available,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,39490,7291,895
DELL,AMD,Ryzen 3,Not Available,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,37390,38,5
DELL,AMD,Ryzen 3,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,52632,0,0
DELL,AMD,Ryzen 3,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,39990,409,39
DELL,AMD,Ryzen 3,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,43990,0,0
HP,AMD,Ryzen 3,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,32917,353,58
Lenovo,AMD,Ryzen 3,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,0 GB,34990,38,6
DELL,AMD,Ryzen 3,Not Available,8 GB,0 GB,1024 GB,Windows,64-bit,0 GB,39990,18,4
HP,AMD,Ryzen 3,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,41999,3524,432
DELL,AMD,Ryzen 5,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,41990,939,107
DELL,AMD,Ryzen 5,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,44490,14,1
DELL,AMD,Ryzen 5,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,41990,649,84
DELL,AMD,Ryzen 5,Not Available,8 GB,256 GB,0 GB,Windows,64-bit,0 GB,44490,8,2
MSI,AMD,Ryzen 5,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,49990,0,0
DELL,AMD,Ryzen 5,Not Available,4 GB,256 GB,0 GB,Windows,64-bit,0 GB,44390,276,24
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,57990,4740,532
Lenovo,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,56990,162,15
Lenovo,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,48990,219,27
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,49970,193,28
MSI,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,47990,562,89
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,48990,45,5
acer,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,53990,7,0
Lenovo,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,52990,39,5
acer,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,43990,0,0
Lenovo,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,59490,92,10
MSI,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,64990,469,80
DELL,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,47490,2,1
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,59990,1978,188
Lenovo,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,69990,9,0
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,58990,1049,134
DELL,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,59490,74,18
HP,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,67500,196,19
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,32-bit,0 GB,48990,17,1
ASUS,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,62450,172,36
ASUS,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,58990,324,34
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,57999,86,15
ASUS,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,56990,4,1
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,72990,16,4
HP,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,65990,104,18
HP,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,98020,0,0
HP,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,2 GB,63990,90,13
ASUS,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,32-bit,0 GB,49890,6,1
DELL,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,49990,47,7
DELL,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,59490,0,0
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,73999,206,27
DELL,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,60990,183,42
DELL,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,6 GB,76190,358,64
Lenovo,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,74798,0,0
ASUS,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,58990,88,13
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,4 GB,68100,0,0
Lenovo,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,77990,0,0
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,55090,364,52
ASUS,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,91990,0,0
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,84208,0,0
acer,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,44990,313,39
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,53490,826,118
Lenovo,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,76498,0,0
DELL,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,98920,0,0
MSI,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,54990,1410,203
acer,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,49990,47,6
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,52380,0,0
acer,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,49990,6,1
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,52500,741,67
ASUS,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,49990,14,2
acer,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,75999,0,0
ASUS,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,80990,0,0
Lenovo,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,59900,3,0
HP,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,54590,349,69
DELL,AMD,Ryzen 5,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,75500,0,0
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,0 GB,51890,519,48
ASUS,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,78000,3,0
HP,AMD,Ryzen 5,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,59999,19,1
HP,AMD,Ryzen 5,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,64990,8,1
DELL,AMD,Ryzen 5,Not Available,4 GB,1024 GB,0 GB,Windows,32-bit,0 GB,57900,3,1
Lenovo,AMD,Ryzen 5,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,81978,0,0
HP,AMD,Ryzen 5,Not Available,4 GB,0 GB,1024 GB,Windows,64-bit,4 GB,59990,1480,151
DELL,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,49490,31,3
ASUS,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,54990,18,3
Lenovo,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,4 GB,68500,271,24
ASUS,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,54990,49,6
ASUS,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,32-bit,0 GB,54990,474,65
Lenovo,AMD,Ryzen 5,Not Available,8 GB,256 GB,1024 GB,Windows,64-bit,0 GB,63990,861,116
HP,AMD,Ryzen 5,Not Available,4 GB,256 GB,1024 GB,Windows,64-bit,4 GB,80000,34,6
DELL,AMD,Ryzen 5,Not Available,4 GB,256 GB,1024 GB,Windows,32-bit,0 GB,51990,0,0
ASUS,AMD,Ryzen 5,Not Available,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,62990,165,34
HP,AMD,Ryzen 5,Not Available,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,52990,698,74
ASUS,AMD,Ryzen 5,Not Available,4 GB,256 GB,1024 GB,Windows,64-bit,0 GB,75100,0,0
ASUS,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,32-bit,4 GB,76990,22,3
ASUS,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,4 GB,79990,0,0
ASUS,AMD,Ryzen 7,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,71990,144,16
ASUS,AMD,Ryzen 7,Not Available,8 GB,512 GB,0 GB,Windows,64-bit,4 GB,71990,1810,235
Lenovo,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,4 GB,99990,26,1
ASUS,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,79990,0,0
DELL,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,4 GB,93990,0,0
ASUS,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,4 GB,82990,1067,145
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,106990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,92990,25,4
Lenovo,Intel,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,4 GB,81490,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,56990,0,0
MSI,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,64990,0,0
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,60990,530,69
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,84988,0,0
HP,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,90990,273,40
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,63990,77,7
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,63990,105,10
HP,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,57999,44,5
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,4 GB,72400,0,0
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,78990,6,0
acer,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,59990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,4 GB,111990,0,0
HP,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,0 GB,109000,0,0
DELL,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,6 GB,89990,191,27
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,78988,0,0
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,73138,4,1
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,4 GB,106990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,32-bit,4 GB,79990,0,0
DELL,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,89570,0,0
HP,AMD,Ryzen 7,Not Available,4 GB,512 GB,0 GB,Windows,64-bit,0 GB,68500,134,22
Lenovo,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,0 GB,73400,0,0
HP,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,2 GB,79990,23,6
HP,AMD,Ryzen 7,Not Available,16 GB,512 GB,0 GB,Windows,64-bit,4 GB,84990,4,2
MSI,AMD,Ryzen 7,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,8 GB,99990,108,24
ASUS,AMD,Ryzen 7,Not Available,8 GB,1024 GB,0 GB,Windows,64-bit,4 GB,72990,198,24
HP,AMD,Ryzen 7,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,92990,0,0
HP,AMD,Ryzen 7,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,84190,0,0
ASUS,AMD,Ryzen 7,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,112990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,32-bit,4 GB,114990,0,0
acer,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,99990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,32-bit,4 GB,95990,57,3
HP,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,8 GB,159990,17,2
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,76990,0,0
Lenovo,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,6 GB,130990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,99990,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,112990,0,0
Lenovo,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,77988,0,0
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,76000,1,1
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,99990,77,15
ASUS,AMD,Ryzen 7,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,111000,0,0
ASUS,AMD,Ryzen 7,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,0 GB,84970,2,1
HP,AMD,Ryzen 7,Not Available,16 GB,256 GB,1024 GB,Windows,64-bit,4 GB,75990,1084,123
acer,AMD,Ryzen 7,Not Available,16 GB,256 GB,1024 GB,Windows,64-bit,6 GB,89990,272,36
acer,AMD,Ryzen 7,Not Available,16 GB,256 GB,1024 GB,Windows,64-bit,4 GB,81990,141,24
Lenovo,AMD,Ryzen 7,Not Available,4 GB,512 GB,1024 GB,Windows,32-bit,0 GB,80490,0,0
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,135990,0,0
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,32-bit,0 GB,154990,194,42
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,8 GB,199990,9,2
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,4 GB,114990,28,4
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,6 GB,129990,204,35
ASUS,AMD,Ryzen 9,Not Available,16 GB,1024 GB,0 GB,Windows,64-bit,4 GB,114990,32,6
MSI,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,146990,0,0
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,104990,14,2
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,114990,14,1
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,124990,3,0
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,134990,0,0
HP,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,8 GB,141990,0,0
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,129990,0,0
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,142990,4,1
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,0 GB,121990,0,0
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,124990,44,12
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,6 GB,141990,61,13
ASUS,AMD,Ryzen 9,Not Available,4 GB,1024 GB,0 GB,Windows,64-bit,4 GB,162990,0,0
